Quantity,Supplier Part Number 1,Designator,Comment,Value,Footprint
"1","REF3020AIDBZTDKR-ND","U2","REF3020AIDBZT","","SOT23-3"
"4","1727-4560-1-ND","U3, U12, U42, U44","74LVC1T45GW,125","","SOT65P210X110-6N"
"5","296-30088-1-ND","U4, U6, U22, U34, U47","AM26C32","","TSOP65P640X120-16N"
"15","296-18593-1-ND","U5, U24A, U24B, U24C, U24D, U24E, U24F, U31A, U31B, U31C, U31D, U31E, U31F, U31G, U31H","SN74LVC8T245","","TSOP65P640X120-24N"
"1","102-PQQ6W-Q24-S24-S-ND","U7","PQQ6W-Q24-S24-S","","PQQ6W-Q24-S24-S"
"3","NUP4114HMR6T1GOSCT-ND","U8, U32, U45","NUP4114HMR6T1G","","TSOP95P280X110-6N"
"4","1830-1107-1-ND","U10, U39, U40, U41","IN-PI556FCH","","IN-PI556FCH"
"2","945-2987-ND","U11, U13","DCDC Converter RS6","","RS6 DCDC"
"1","555-1312-ND","U14","SHHD003A0A4Z","","DCDC SHHD003A0A41-SRZ"
"2","LT1529CQ-5#PBF-ND","U15, U20","LT1529CQ-5#PBF","","5-DDPAK"
"1","AP2112K-1.8TRG1DICT-ND","U16","AP2112K-1.8TRG1","","SOT95P280X145-5N"
"1","AP2114H-3.3TRG1DICT-ND","U17","AP2114H-3.3TRG1","","SOT230P700X180-4N"
"1","MC78M15CDTRKGOSCT-ND","U18","MC78M15CDTRKG","","DPAK229P991X238-3N"
"1","MC79M15CDTRKGOSCT-ND","U19","MC79M15CDTRKG","","DPAK229P991X238-3N"
"1","LT1764EQ-1.8#PBF-ND","U21","LT1764EQ-1.8#PBF-ND","","5-DDPAK"
"12","TC4468COE-ND","U23A, U23B, U23C, U23D, U23E, U23F, U25A, U25B, U25C, U25D, U25E, U25F","TC4468","","SOIC16_N - wide"
"1","LTC4365CTS8#TRMPBFCT-ND","U26","LTC4365","","TSOP65P280X100-8N"
"1","CAT25128VI-GT3OSCT-ND","U27","CAT25128VI-GT3","","SOIC127P600X175-8N"
"4","INA2143UA-ND","U28A, U28B, U29A, U29B","INA2143UA","","SOIC127P600X175-14N"
"1","296-34943-1-ND","U30","TPS22965DSGT","","SON50P200X80_HS-9N"
"3","296-30087-1-ND","U33, U46, U48","AM26C31","","TSOP65P640X120-16N"
"4","1655-1701-1-ND","U35, U36, U37, U38","SMDA12CTR","","SOIC127P600X175-8N"
"1","74AHCT1G08SE-7DICT-ND","U43","74AHCT1G08SE-7","","SOT65P210X110-5N"
