Quantity,Supplier Part Number,Manufacturer Part Number,Description,Designator,Value,Footprint
1,160-1446-6-ND,LTST-C191KGKT,LED GREEN CLEAR SMD,LED3,GREEN,0603-LED
1,160-1447-6-ND,LTST-C191KRKT,LED RED CLEAR SMD,LED2,RED,0603-LED
1,160-1448-6-ND,LTST-C191KSKT,LED YELLOW CLEAR SMD,LED1,YELLOW,0603-LED
2,LT1529CQ-5#PBF-ND,LT1529CQ-5#PBF,IC REG LINEAR 5V 3A DDPAK-5,"U15, U20",,5-DDPAK
1,LT1764EQ-1.8#PBF-ND,LT1764EQ-1.8#PBF,IC REG LINEAR 1.8V 3A DDPAK-5,U21,,5-DDPAK
1,LTC2320CUKG-14#PBF-ND,LTC2320CUKG-14#PBF,IC ADC 14BIT SAR 52QFN,U1,,QFN50P700X800X80_HS-53N
1,LTC4365CTS8#TRMPBFCT-ND,LTC4365CTS8#TRMPBF,IC OVERVOLTAGE PROT TSOT23-8,U26,,TSOP65P280X100-8N
1,MC78M15CDTRKGOSCT-ND,MC78M15CDTRKG,IC REG LINEAR 15V 500MA DPAK,U18,,DPAK229P991X238-3N
1,MC79M15CDTRKGOSCT-ND,MC79M15CDTRKG,IC REG LINEAR -15V 500MA DPAK,U19,,DPAK229P991X238-3N
2,FDV301NCT-ND,FDV301N,MOSFET N-CH 25V 220MA SOT23,"Q1, Q2",,SOT95P245X110-3N
3,NUP4114HMR6T1GOSCT-ND,NUP4114HMR6T1G,TVS DIODE 5.5VWM 10VC 6TSOP,"U8, U32, U45",,TSOP95P280X110-6N
3,609-1693-1-ND,61083-102402LF,CONN PLUG 100POS SMD GOLD,"CON16, CON17, CON18",,
1,102-PQQ6W-Q24-S24-S-ND,PQQ6W-Q24-S24-S,"DC-DC ISOLATED, 6 W, 9~36 VDC IN",U7,,PQQ6W-Q24-S24-S
1,REF3020AIDBZTDKR-ND,REF3020AIDBZT,IC VREF SERIES 0.2% SOT23-3,U2,,SOT23-3
1,311-4.12KHRCT-ND,RC0603FR-074K12L,RES 4.12K OHM 1% 1/10W 0603,R58,4k12,0603-RES
1,311-4.70KHRCT-ND,RC0603FR-074K7L,RES 4.7K OHM 1% 1/10W 0603,R98,4k7,0603-RES
1,311-5.90KHRCT-ND,RC0603FR-075K9L,RES 5.9K OHM 1% 1/10W 0603,R59,5k9,0603-RES
1,311-178KHRCT-ND,RC0603FR-07178KL,RES 178K OHM 1% 1/10W 0603,R56,178k,0603-RES
1,311-390KHRCT-ND,RC0603FR-07390KL,RES 390K OHM 1% 1/10W 0603,R55,390k,0603-RES
